ID,Package,CWE,Date,Platform,GitHub URL,Stars,Contributors,Dependencies,Dependents
GHSA-v829-j9rr-85v9,krayin/laravel-crm,CWE-79,22 Jun 2022,Composer,https://github.com/krayin/laravel-crm,10700.0,27.0,264.0,0.0
GHSA-vv7q-mfpc-qgm5,laravel/laravel,CWE-502,8 Jun 2022,Composer,https://github.com/laravel/laravel,78400.0,655.0,17.0,19.0
GHSA-w248-ffj2-4v5q,guzzlehttp/guzzle,CWE-200,9 Jun 2022,Composer,https://github.com/guzzle/guzzle,23200.0,355.0,29.0,19.0
GHSA-w4q4-jcm7-g4m6,com.github.kfcfans:powerjob,CWE-522,17 Jun 2022,Maven,https://github.com/PowerJob/PowerJob,6800.0,23.0,167.0,1.0
GHSA-rphm-c8gw-3r38,lifion-verify-deps,CWE-78,3 Jun 2022,NPM,https://github.com/lifion/lifion-verify-deps,3.0,7.0,675.0,0.0
GHSA-r48q-9g5r-8q2h,github.com/emicklei/go-restful/v3,CWE-639,9 Jun 2022,Go,https://github.com/emicklei/go-restful,5000.0,97.0,62.0,16651.0
GHSA-r7jw-mg27-j839,facturascripts/facturascripts,CWE-79,4 Jun 2022,Composer,https://github.com/neorazorx/facturascripts,377.0,62.0,33.0,0.0
GHSA-q4qm-xhf9-4p8f,flower,CWE-287,3 Jun 2022,PyPI,https://github.com/mher/flower,6400.0,194.0,19.0,19923.0
GHSA-q56h-x9h5-q53c,kityminder,CWE-918,10 Jun 2022,NPM,https://github.com/fex-team/kityminder,4400.0,15.0,10.0,1.0
GHSA-pp3c-cf6j-m3ff,org.jodd:jodd-http,CWE-74,7 Jun 2022,Maven,https://github.com/oblac/jodd-http,25.0,3.0,4.0,0.0
GHSA-m43h-hfrq-x8wx,org.apache.systemds:systemds,CWE-400,28 Jun 2022,Maven,https://github.com/apache/systemds,1000.0,189.0,185.0,7.0
GHSA-m9vj-44f3-78xw,io.whitesource:curekit,CWE-22,1 Jun 2022,Maven,https://github.com/whitesource/CureKit,8.0,5.0,11.0,6.0
