REPO_NAME,GITHUB_URL,PERIOD_START,PERIOD_END,CONTRIBUTORS,CUMULATIVE_CONTRIBUTORS
GHSA-x3v4-pxvm-63j8,reel,https://github.com/celluloid/reel,2018-07-01 00:00:00,2018-12-31 00:00:00,1,2
GHSA-x3v4-pxvm-63j8,reel,https://github.com/celluloid/reel,2019-01-01 00:00:00,2019-06-30 00:00:00,0,2
GHSA-x3v4-pxvm-63j8,reel,https://github.com/celluloid/reel,2019-07-01 00:00:00,2019-12-31 00:00:00,0,2
GHSA-x3v4-pxvm-63j8,reel,https://github.com/celluloid/reel,2020-01-01 00:00:00,2020-06-30 00:00:00,0,2
GHSA-x3v4-pxvm-63j8,reel,https://github.com/celluloid/reel,2020-07-01 00:00:00,2020-12-31 00:00:00,0,2
GHSA-x3v4-pxvm-63j8,reel,https://github.com/celluloid/reel,2021-01-01 00:00:00,2021-06-30 00:00:00,0,2
GHSA-x3v4-pxvm-63j8,reel,https://github.com/celluloid/reel,2021-07-01 00:00:00,2021-12-31 00:00:00,0,2
GHSA-x3v4-pxvm-63j8,reel,https://github.com/celluloid/reel,2022-01-01 00:00:00,2022-06-30 00:00:00,0,2
GHSA-x3v4-pxvm-63j8,reel,https://github.com/celluloid/reel,2022-07-01 00:00:00,2022-12-31 00:00:00,0,2
GHSA-x3v4-pxvm-63j8,reel,https://github.com/celluloid/reel,2023-01-01 00:00:00,2023-06-30 00:00:00,0,2
GHSA-x3v4-pxvm-63j8,reel,https://github.com/celluloid/reel,2023-07-01 00:00:00,2023-12-31 00:00:00,0,2
GHSA-x3v4-pxvm-63j8,reel,https://github.com/celluloid/reel,2024-01-01 00:00:00,2024-06-30 00:00:00,0,2
GHSA-x3v4-pxvm-63j8,reel,https://github.com/celluloid/reel,2024-07-01 00:00:00,2024-12-31 00:00:00,0,2
GHSA-wmwp-pggc-h4mj,community,https://github.com/documize/community,2017-01-01 00:00:00,2017-06-30 00:00:00,1,1
GHSA-wmwp-pggc-h4mj,community,https://github.com/documize/community,2017-07-01 00:00:00,2017-12-31 00:00:00,3,3
GHSA-wmwp-pggc-h4mj,community,https://github.com/documize/community,2018-01-01 00:00:00,2018-06-30 00:00:00,4,6
GHSA-wmwp-pggc-h4mj,community,https://github.com/documize/community,2018-07-01 00:00:00,2018-12-31 00:00:00,5,7
GHSA-wmwp-pggc-h4mj,community,https://github.com/documize/community,2019-01-01 00:00:00,2019-06-30 00:00:00,5,8
GHSA-wmwp-pggc-h4mj,community,https://github.com/documize/community,2019-07-01 00:00:00,2019-12-31 00:00:00,8,13
GHSA-wmwp-pggc-h4mj,community,https://github.com/documize/community,2020-01-01 00:00:00,2020-06-30 00:00:00,2,13
GHSA-wmwp-pggc-h4mj,community,https://github.com/documize/community,2020-07-01 00:00:00,2020-12-31 00:00:00,4,15
GHSA-wmwp-pggc-h4mj,community,https://github.com/documize/community,2021-01-01 00:00:00,2021-06-30 00:00:00,2,16
GHSA-wmwp-pggc-h4mj,community,https://github.com/documize/community,2021-07-01 00:00:00,2021-12-31 00:00:00,2,17
GHSA-wmwp-pggc-h4mj,community,https://github.com/documize/community,2022-01-01 00:00:00,2022-06-30 00:00:00,4,19
GHSA-wmwp-pggc-h4mj,community,https://github.com/documize/community,2022-07-01 00:00:00,2022-12-31 00:00:00,6,23
GHSA-wmwp-pggc-h4mj,community,https://github.com/documize/community,2023-01-01 00:00:00,2023-06-30 00:00:00,3,24
GHSA-wmwp-pggc-h4mj,community,https://github.com/documize/community,2023-07-01 00:00:00,2023-12-31 00:00:00,3,26
GHSA-wmwp-pggc-h4mj,community,https://github.com/documize/community,2024-01-01 00:00:00,2024-06-30 00:00:00,2,27
GHSA-wmwp-pggc-h4mj,community,https://github.com/documize/community,2024-07-01 00:00:00,2024-12-31 00:00:00,0,27
GHSA-rwxp-hwwf-653v,express-hbs,https://github.com/TryGhost/express-hbs,2017-01-01 00:00:00,2017-06-30 00:00:00,4,4
GHSA-rwxp-hwwf-653v,express-hbs,https://github.com/TryGhost/express-hbs,2017-07-01 00:00:00,2017-12-31 00:00:00,1,5
GHSA-rwxp-hwwf-653v,express-hbs,https://github.com/TryGhost/express-hbs,2018-01-01 00:00:00,2018-06-30 00:00:00,0,5
GHSA-rwxp-hwwf-653v,express-hbs,https://github.com/TryGhost/express-hbs,2018-07-01 00:00:00,2018-12-31 00:00:00,1,6
GHSA-rwxp-hwwf-653v,express-hbs,https://github.com/TryGhost/express-hbs,2019-01-01 00:00:00,2019-06-30 00:00:00,5,10
GHSA-rwxp-hwwf-653v,express-hbs,https://github.com/TryGhost/express-hbs,2019-07-01 00:00:00,2019-12-31 00:00:00,2,11
GHSA-rwxp-hwwf-653v,express-hbs,https://github.com/TryGhost/express-hbs,2020-01-01 00:00:00,2020-06-30 00:00:00,5,15
GHSA-rwxp-hwwf-653v,express-hbs,https://github.com/TryGhost/express-hbs,2020-07-01 00:00:00,2020-12-31 00:00:00,2,15
GHSA-rwxp-hwwf-653v,express-hbs,https://github.com/TryGhost/express-hbs,2021-01-01 00:00:00,2021-06-30 00:00:00,4,16
GHSA-rwxp-hwwf-653v,express-hbs,https://github.com/TryGhost/express-hbs,2021-07-01 00:00:00,2021-12-31 00:00:00,1,16
GHSA-rwxp-hwwf-653v,express-hbs,https://github.com/TryGhost/express-hbs,2022-01-01 00:00:00,2022-06-30 00:00:00,5,17
GHSA-rwxp-hwwf-653v,express-hbs,https://github.com/TryGhost/express-hbs,2022-07-01 00:00:00,2022-12-31 00:00:00,2,17
GHSA-rwxp-hwwf-653v,express-hbs,https://github.com/TryGhost/express-hbs,2023-01-01 00:00:00,2023-06-30 00:00:00,2,17
GHSA-rwxp-hwwf-653v,express-hbs,https://github.com/TryGhost/express-hbs,2023-07-01 00:00:00,2023-12-31 00:00:00,5,18
GHSA-rwxp-hwwf-653v,express-hbs,https://github.com/TryGhost/express-hbs,2024-01-01 00:00:00,2024-06-30 00:00:00,1,18
GHSA-rwxp-hwwf-653v,express-hbs,https://github.com/TryGhost/express-hbs,2024-07-01 00:00:00,2024-12-31 00:00:00,1,18
GHSA-v3q9-2p3m-7g43,fosite,https://github.com/ory/fosite,2017-01-01 00:00:00,2017-06-30 00:00:00,14,14
GHSA-v3q9-2p3m-7g43,fosite,https://github.com/ory/fosite,2017-07-01 00:00:00,2017-12-31 00:00:00,8,18
GHSA-v3q9-2p3m-7g43,fosite,https://github.com/ory/fosite,2018-01-01 00:00:00,2018-06-30 00:00:00,9,24
GHSA-v3q9-2p3m-7g43,fosite,https://github.com/ory/fosite,2018-07-01 00:00:00,2018-12-31 00:00:00,13,34
GHSA-v3q9-2p3m-7g43,fosite,https://github.com/ory/fosite,2019-01-01 00:00:00,2019-06-30 00:00:00,6,36
GHSA-v3q9-2p3m-7g43,fosite,https://github.com/ory/fosite,2019-07-01 00:00:00,2019-12-31 00:00:00,5,40
GHSA-v3q9-2p3m-7g43,fosite,https://github.com/ory/fosite,2020-01-01 00:00:00,2020-06-30 00:00:00,13,50
GHSA-v3q9-2p3m-7g43,fosite,https://github.com/ory/fosite,2020-07-01 00:00:00,2020-12-31 00:00:00,12,58
GHSA-v3q9-2p3m-7g43,fosite,https://github.com/ory/fosite,2021-01-01 00:00:00,2021-06-30 00:00:00,13,68
GHSA-v3q9-2p3m-7g43,fosite,https://github.com/ory/fosite,2021-07-01 00:00:00,2021-12-31 00:00:00,9,71
GHSA-v3q9-2p3m-7g43,fosite,https://github.com/ory/fosite,2022-01-01 00:00:00,2022-06-30 00:00:00,15,82
GHSA-v3q9-2p3m-7g43,fosite,https://github.com/ory/fosite,2022-07-01 00:00:00,2022-12-31 00:00:00,11,86
GHSA-v3q9-2p3m-7g43,fosite,https://github.com/ory/fosite,2023-01-01 00:00:00,2023-06-30 00:00:00,5,89
GHSA-v3q9-2p3m-7g43,fosite,https://github.com/ory/fosite,2023-07-01 00:00:00,2023-12-31 00:00:00,7,94
GHSA-v3q9-2p3m-7g43,fosite,https://github.com/ory/fosite,2024-01-01 00:00:00,2024-06-30 00:00:00,7,96
GHSA-v3q9-2p3m-7g43,fosite,https://github.com/ory/fosite,2024-07-01 00:00:00,2024-12-31 00:00:00,4,97
GHSA-rmh2-65xw-9m6q,jsonparser,https://github.com/buger/jsonparser,2017-01-01 00:00:00,2017-06-30 00:00:00,12,12
GHSA-rmh2-65xw-9m6q,jsonparser,https://github.com/buger/jsonparser,2017-07-01 00:00:00,2017-12-31 00:00:00,5,14
GHSA-rmh2-65xw-9m6q,jsonparser,https://github.com/buger/jsonparser,2018-01-01 00:00:00,2018-06-30 00:00:00,4,17
GHSA-rmh2-65xw-9m6q,jsonparser,https://github.com/buger/jsonparser,2018-07-01 00:00:00,2018-12-31 00:00:00,4,18
GHSA-rmh2-65xw-9m6q,jsonparser,https://github.com/buger/jsonparser,2019-01-01 00:00:00,2019-06-30 00:00:00,0,18
GHSA-rmh2-65xw-9m6q,jsonparser,https://github.com/buger/jsonparser,2019-07-01 00:00:00,2019-12-31 00:00:00,4,22
GHSA-rmh2-65xw-9m6q,jsonparser,https://github.com/buger/jsonparser,2020-01-01 00:00:00,2020-06-30 00:00:00,7,28
GHSA-rmh2-65xw-9m6q,jsonparser,https://github.com/buger/jsonparser,2020-07-01 00:00:00,2020-12-31 00:00:00,6,32
GHSA-rmh2-65xw-9m6q,jsonparser,https://github.com/buger/jsonparser,2021-01-01 00:00:00,2021-06-30 00:00:00,6,37
GHSA-rmh2-65xw-9m6q,jsonparser,https://github.com/buger/jsonparser,2021-07-01 00:00:00,2021-12-31 00:00:00,2,37
GHSA-rmh2-65xw-9m6q,jsonparser,https://github.com/buger/jsonparser,2022-01-01 00:00:00,2022-06-30 00:00:00,3,39
GHSA-rmh2-65xw-9m6q,jsonparser,https://github.com/buger/jsonparser,2022-07-01 00:00:00,2022-12-31 00:00:00,0,39
GHSA-rmh2-65xw-9m6q,jsonparser,https://github.com/buger/jsonparser,2023-01-01 00:00:00,2023-06-30 00:00:00,0,39
GHSA-rmh2-65xw-9m6q,jsonparser,https://github.com/buger/jsonparser,2023-07-01 00:00:00,2023-12-31 00:00:00,0,39
GHSA-rmh2-65xw-9m6q,jsonparser,https://github.com/buger/jsonparser,2024-01-01 00:00:00,2024-06-30 00:00:00,0,39
GHSA-rmh2-65xw-9m6q,jsonparser,https://github.com/buger/jsonparser,2024-07-01 00:00:00,2024-12-31 00:00:00,0,39
GHSA-q27f-v3r6-9v77,em-http-request,https://github.com/igrigorik/em-http-request,2017-01-01 00:00:00,2017-06-30 00:00:00,3,3
GHSA-q27f-v3r6-9v77,em-http-request,https://github.com/igrigorik/em-http-request,2017-07-01 00:00:00,2017-12-31 00:00:00,0,3
GHSA-q27f-v3r6-9v77,em-http-request,https://github.com/igrigorik/em-http-request,2018-01-01 00:00:00,2018-06-30 00:00:00,0,3
GHSA-q27f-v3r6-9v77,em-http-request,https://github.com/igrigorik/em-http-request,2018-07-01 00:00:00,2018-12-31 00:00:00,2,4
GHSA-q27f-v3r6-9v77,em-http-request,https://github.com/igrigorik/em-http-request,2019-01-01 00:00:00,2019-06-30 00:00:00,1,5
GHSA-q27f-v3r6-9v77,em-http-request,https://github.com/igrigorik/em-http-request,2019-07-01 00:00:00,2019-12-31 00:00:00,0,5
GHSA-q27f-v3r6-9v77,em-http-request,https://github.com/igrigorik/em-http-request,2020-01-01 00:00:00,2020-06-30 00:00:00,5,9
GHSA-q27f-v3r6-9v77,em-http-request,https://github.com/igrigorik/em-http-request,2020-07-01 00:00:00,2020-12-31 00:00:00,1,9
GHSA-q27f-v3r6-9v77,em-http-request,https://github.com/igrigorik/em-http-request,2021-01-01 00:00:00,2021-06-30 00:00:00,1,10
GHSA-q27f-v3r6-9v77,em-http-request,https://github.com/igrigorik/em-http-request,2021-07-01 00:00:00,2021-12-31 00:00:00,0,10
GHSA-q27f-v3r6-9v77,em-http-request,https://github.com/igrigorik/em-http-request,2022-01-01 00:00:00,2022-06-30 00:00:00,0,10
GHSA-q27f-v3r6-9v77,em-http-request,https://github.com/igrigorik/em-http-request,2022-07-01 00:00:00,2022-12-31 00:00:00,0,10
GHSA-q27f-v3r6-9v77,em-http-request,https://github.com/igrigorik/em-http-request,2023-01-01 00:00:00,2023-06-30 00:00:00,0,10
GHSA-q27f-v3r6-9v77,em-http-request,https://github.com/igrigorik/em-http-request,2023-07-01 00:00:00,2023-12-31 00:00:00,0,10
GHSA-q27f-v3r6-9v77,em-http-request,https://github.com/igrigorik/em-http-request,2024-01-01 00:00:00,2024-06-30 00:00:00,5,14
GHSA-q27f-v3r6-9v77,em-http-request,https://github.com/igrigorik/em-http-request,2024-07-01 00:00:00,2024-12-31 00:00:00,0,14
GHSA-m6wg-2mwg-4rfq,gpgme,https://github.com/proglottis/gpgme,2017-01-01 00:00:00,2017-06-30 00:00:00,2,2
GHSA-m6wg-2mwg-4rfq,gpgme,https://github.com/proglottis/gpgme,2017-07-01 00:00:00,2017-12-31 00:00:00,0,2
GHSA-m6wg-2mwg-4rfq,gpgme,https://github.com/proglottis/gpgme,2018-01-01 00:00:00,2018-06-30 00:00:00,0,2
GHSA-m6wg-2mwg-4rfq,gpgme,https://github.com/proglottis/gpgme,2018-07-01 00:00:00,2018-12-31 00:00:00,2,3
GHSA-m6wg-2mwg-4rfq,gpgme,https://github.com/proglottis/gpgme,2019-01-01 00:00:00,2019-06-30 00:00:00,1,3
GHSA-m6wg-2mwg-4rfq,gpgme,https://github.com/proglottis/gpgme,2019-07-01 00:00:00,2019-12-31 00:00:00,1,3
GHSA-m6wg-2mwg-4rfq,gpgme,https://github.com/proglottis/gpgme,2020-01-01 00:00:00,2020-06-30 00:00:00,2,4
